"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Bader, Harrison","664056","40","22.6",30,"106.6","85.5","97.8","94.5","80.8","394","168","376","16",40,"5",12.5,8.2
"Thomas, Alek","677950","40","5.9",35,"109.4","91.9","100.8","96.9","87","417","147",,"15",37.5,"5",12.5,8.3
"Pauley, Graham","688363","40","13.6",35,"111.1","88.2","99.5","92.6","84","402","168",,"16",40,"3",7.5,5.3
"Moniak, Mickey","666160","40","14.9",37.5,"108.1","89.9","101.7","93.5","87","429","171","401","19",47.5,"5",12.5,8.6
"Shaw, Matt","807713","40","13.2",30,"106.5","82.7","93.8","87.2","84.1","379","130","379","9",22.5,"1",2.5,1.5
"Urías, Ramón","602104","40","9.8",30,"107.1","87.3","98.1","95.7","83.8","397","143",,"15",37.5,"4",10,7.4
"Moreno, Gabriel","672515","40","14.4",35,"104.3","91.1","97.9","92.6","91.1","361","154",,"17",42.5,"0",0,0
"Narváez, Carlos","665966","40","18.8",22.5,"110.8","91.7","101.8","91.4","95.7","396","163","353","14",35,"5",12.5,8.3
"Pederson, Joc","592626","40","12.6",12.5,"109.3","91.1","98.8","93.8","91.1","391","124",,"14",35,"2",5,3.2
"Smith, Cam","701358","40","6.4",35,"110.6","86.5","99.9","91","82.1","403","154","378","16",40,"3",7.5,4.6
"Hicks, Liam","689414","39","11.2",33.3,"105.4","85.1","95.5","87.6","80.2","374","174","374","11",28.2,"0",0,0
"Naylor, Bo","666310","39","22.6",35.9,"105.5","90.6","98","93.6","84","425","203","413","13",33.3,"4",10.3,6.9
"Benintendi, Andrew","643217","39","16.9",25.6,"106.6","86.5","98.8","95.1","77.9","401","177","385","14",35.9,"5",12.8,9.4
"Wade Jr., LaMonte","664774","39","24.8",41,"107.6","90.7","98.1","91.7","88.5","388","231","364","12",30.8,"2",5.1,2.9
"Grisham, Trent","663757","39","21.8",41,"108.3","92.6","101.3","94.8","92.2","405","206","373","20",51.3,"7",17.9,12.5
"Young, Jacob","696285","39","-6.9",17.9,"106.8","86","96.4","87.5","85.9","338","81",,"11",28.2,"0",0,0
"Pagés, Pedro","686780","39","15.9",35.9,"107.5","87.8","98.2","90.8","83.9","399","172","399","11",28.2,"2",5.1,3.5
"Mitchell, Garrett","669003","38","13.5",31.6,"110.8","90.6","102.4","97.6","86.1","407","159",,"17",44.7,"3",7.9,4.7
"Toglia, Michael","669911","38","10.7",31.6,"109.6","91.6","102.1","93.2","90.1","418","160","418","20",52.6,"3",7.9,3.9
"O'Hoppe, Logan","681351","38","21.1",39.5,"111.1","90.1","102.8","94.6","85","417","219","400","19",50,"7",18.4,10.8
"Jeffers, Ryan","680777","38","21.5",31.6,"110.4","88.6","99.3","93.6","78.2","398","213",,"15",39.5,"2",5.3,3.4
"Acuña, Luisangel","682668","38","5.7",36.8,"110","88.7","99.4","89.2","89.9","334","127",,"14",36.8,"0",0,0
"Cabrera, Oswaldo","665828","38","14.2",47.4,"107.5","89.2","97.8","90.1","88.5","382","177","382","14",36.8,"0",0,0
"Martini, Nick","605361","38","11.5",28.9,"105","86.6","98.2","87.5","86.7","370","134",,"13",34.2,"1",2.6,2
"Wallner, Matt","670242","38","17.9",28.9,"112","89.6","101.3","95.3","79.2","404","203","404","18",47.4,"4",10.5,6
"Wagner, Will","695238","38","10.7",28.9,"104.9","88.6","98.3","89.8","88.7","380","128",,"15",39.5,"1",2.6,1.8
"Henderson, Gunnar","683002","37","9",35.1,"113.3","97.6","106.9","100.1","97.1","395","157","394","24",64.9,"4",10.8,6.7
"Valdez, Enmanuel","665839","37","11.7",54.1,"108.2","91.8","101.9","96.2","84.6","405","202","405","19",51.4,"4",10.8,7.1
"Bailey, Patrick","672275","37","20.8",32.4,"105.9","89.8","98.4","92","88.4","400","210",,"14",37.8,"1",2.7,1.5
"Renfroe, Hunter","592669","36","19.4",19.4,"109.9","87.3","97.7","92.5","86.3","391","160",,"10",27.8,"1",2.8,1.8
"Jung, Josh","673962","36","8.4",44.4,"107.5","90.2","101.1","98.2","87.1","397","165","343","17",47.2,"6",16.7,12
"Heim, Jonah","641680","36","19.1",36.1,"109.6","93.7","101.3","93.2","96","417","188","392","15",41.7,"4",11.1,7.8
"McCarthy, Jake","664983","36","7.9",25,"103.8","84.2","93.4","90.2","80.6","369","146",,"6",16.7,"0",0,0
"Langford, Wyatt","694671","36","19.5",33.3,"110.7","89.7","100.8","95.3","82.8","407","185","370","16",44.4,"4",11.1,7.7
"Sanoja, Javier","691594","35","14.5",37.1,"104.5","87.9","97.5","91.5","87.1","367","159","367","11",31.4,"1",2.9,2.1
"Kjerstad, Heston","677008","35","17.6",51.4,"106.7","92.7","101.7","95.9","89.8","409","191","405","18",51.4,"6",17.1,12
"Smith, Pavin","656976","35","10.3",48.6,"109.3","92.3","101","94.7","91","429","169","405","18",51.4,"8",22.9,12.1
"Hernández, Enrique","571771","34","16.4",26.5,"109.8","91.9","102.2","98.1","84","412","184","384","15",44.1,"6",17.6,10.9
"Taylor, Michael A.","572191","34","19.7",41.2,"110.4","91.4","101.8","96.9","87.1","411","180","411","16",47.1,"2",5.9,4
"Allen, Nick","669397","34","19.4",35.3,"104.4","85.6","97","89.6","84.5","382","139",,"11",33.3,"0",0,0
"Baty, Brett","683146","34","5.8",29.4,"113.4","89.8","102.6","93","90.5","370","117",,"15",44.1,"2",5.9,3.6
"Jones, Nolan","666134","34","12.8",41.2,"109.1","95.6","103.9","96","96.6","397","160",,"21",61.8,"3",8.8,4.8
"McLain, Matt","680574","34","21.7",35.3,"107.9","91.4","101.3","96.5","81.8","414","211","399","18",52.9,"6",17.6,9.5
"Kelenic, Jarred","672284","33","15.5",18.2,"108.4","89","100.5","92.6","87.5","418","149","380","12",36.4,"4",12.1,6.8
"Bart, Joey","663698","33","15.3",45.5,"110.5","87.6","98.4","92.8","79.8","411","189","411","10",30.3,"5",15.2,8.3
"Rodríguez, Endy","682848","33","12.2",39.4,"104.9","91.4","99.1","95.5","87.4","378","177",,"15",45.5,"1",3,2
"Morel, Christopher","666624","33","18.4",36.4,"113","87.6","99.7","89.9","85.9","400","181","387","11",33.3,"6",18.2,8.8
"Amaya, Jacob","676070","33","15.9",24.2,"101.5","87.8","95.4","92.7","88.4","334","156",,"8",24.2,"0",0,0
"Paris, Kyren","677347","33","11.6",30.3,"108.1","87.6","102.5","96.2","79","434","180","394","19",57.6,"7",21.2,11.5
"Jansen, Danny","643376","33","21.7",24.2,"103.6","87.5","97","91.6","82.9","366","185","358","11",33.3,"0",0,0
"Smith, Josh","669701","32","7.9",37.5,"106.7","88.1","98.9","92.2","83.6","394","156","394","14",43.8,"2",6.3,3.8
"Anderson, Tim","641313","31","-1.4",22.6,"101.2","86.3","95.4","91.6","83","349","115",,"10",32.3,"0",0,0
"Winker, Jesse","608385","31","23.8",32.3,"109.3","90.5","100.9","99.2","90.4","405","155","405","14",45.2,"4",12.9,8.2
"Thomas, Lane","657041","31","18.4",25.8,"110.6","87.4","97.8","88.3","86.9","377","151",,"10",32.3,"0",0,0
"DeJong, Paul","657557","30","23.4",36.7,"108.7","89.2","99","90.5","87.2","363","171",,"11",36.7,"1",3.3,1.8
"Mervis, Matt","670223","30","21.4",30,"107.8","92.4","103.8","95.5","91.7","421","184","389","15",50,"5",16.7,8.2
"De La Cruz, Bryan","650559","29","15.6",44.8,"106.5","91.5","101.4","94.7","87.9","368","179",,"15",51.7,"2",6.9,4
"Winn, Masyn","691026","29","13.9",27.6,"107.9","87.3","100.4","92.2","87.1","403","143","403","11",37.9,"2",6.9,3.9
"Thaiss, Matt","642136","29","18.6",27.6,"109.9","86.4","100.1","95.4","76.4","401","161","382","12",41.4,"0",0,0
"Maton, Nick","665155","29","29.9",17.2,"109.3","88.9","98.5","92","86.1","406","207","403","11",37.9,"2",6.9,3.8
"Tellez, Rowdy","642133","29","18.4",44.8,"113.1","94.3","103.5","97.5","92.7","430","197","390","16",55.2,"6",20.7,12.2
"Marsh, Brandon","669016","28","7.5",21.4,"105","90.3","99.2","95.3","84.8","395","156","395","13",46.4,"2",7.1,3.9
"Malloy, Justyn-Henry","669234","28","19.2",28.6,"103.9","86.5","96.3","89.1","81.5","375","184",,"9",32.1,"1",3.6,1.8
"Rodgers, Brendan","663898","27","14.5",40.7,"112.2","90.6","102.8","90.9","95","363","184",,"14",51.9,"4",14.8,8.2
"Melendez, MJ","669004","27","23.6",29.6,"108.5","90.1","99.3","95.7","83.9","429","187","429","12",44.4,"3",11.1,5.8
"Hill, Derek","656537","27","-1.3",33.3,"112.3","88.6","101.5","94.4","86","398","110","398","11",40.7,"2",7.4,4.2
"Bride, Jonah","681146","26","9.3",30.8,"104.4","85.3","96.3","93.3","81.9","360","134",,"8",30.8,"1",3.8,2.1
"Caballero, José","676609","23","17.9",60.9,"104.5","84.1","93.7","86.6","65.7","344","213","327","4",17.4,"1",4.3,2.1
