"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Peña, Jeremy","665161","67","9.6",32.8,"107.2","89.9","101.4","94","87.4","407","153","387","32",47.8,"7",10.4,7.8
"Ward, Taylor","621493","67","18.1",31.3,"110.3","91.1","101.8","95.2","86.3","413","188","372","32",47.8,"7",10.4,7.5
"Harris II, Michael","671739","67","6.7",35.8,"112.3","89.7","101.9","94","87.3","446","157","412","24",35.8,"7",10.4,7.8
"Butler, Lawrence","671732","67","11.8",25.4,"111.1","92.3","102.9","95.3","90.6","435","162","425","32",47.8,"7",10.4,7.4
"Carroll, Corbin","682998","67","16.7",34.3,"115.8","93.1","105.9","98.3","90","434","182","407","38",56.7,"12",17.9,11.5
"Rooker, Brent","667670","67","15.1",37.3,"110.3","92.4","101.7","97.3","86.7","425","188","393","34",50.7,"11",16.4,11
"Perez, Salvador","521692","66","18.7",40.9,"110.6","91.1","102.2","94.4","86.5","418","202","406","32",48.5,"11",16.7,11.6
"Pasquantino, Vinnie","686469","66","19.4",31.8,"111","90.1","98.9","91.7","89.3","389","196","386","27",40.9,"5",7.6,5.5
"Rengifo, Luis","650859","66","0.7",33.3,"106.4","84.4","95.9","92","79","402","131","402","16",24.2,"3",4.5,3.6
"India, Jonathan","663697","66","22.7",31.8,"107.2","89.5","98.5","91.7","91.5","401","174",,"25",37.9,"2",3,2.2
"Betts, Mookie","605141","66","13.5",33.3,"101.5","87.4","95.9","88.5","86.3","397","183","380","19",28.8,"2",3,2.3
"Castellanos, Nick","592206","66","17.9",51.5,"105.4","90.5","100.1","94","84.6","414","204","401","28",42.4,"6",9.1,6.5
"Harper, Bryce","547180","65","17.5",35.4,"109.5","91.3","102.2","93.2","88.3","418","195","390","30",46.2,"8",12.3,7.7
"Flores, Wilmer","527038","65","14",33.8,"104.7","86","96.3","92.2","81.4","399","164","380","18",27.7,"6",9.2,6.8
"Schanuel, Nolan","694384","64","5.1",42.2,"109.8","86.5","96.3","90.2","83.3","383","152","377","16",25,"2",3.1,2.3
"Semien, Marcus","543760","64","16.8",23.4,"110","87.5","97","91.4","84.8","389","163","389","20",31.3,"5",7.8,5.8
"Soderstrom, Tyler","691016","64","12.9",45.3,"111.7","93","104","98","88.3","432","186","389","33",51.6,"12",18.8,12.8
"Story, Trevor","596115","64","12.6",39.1,"108.7","90.6","103.4","97","85.6","427","173","391","35",54.7,"9",14.1,9.7
"Ruiz, Keibert","660688","64","8.1",32.8,"107.8","84","96.3","87.7","83.8","414","140","393","19",29.7,"1",1.6,1.3
"Judge, Aaron","592450","64","16.7",39.1,"116.8","96.1","107.8","97.7","93.8","468","191","411","38",59.4,"17",26.6,16.3
"Paredes, Isaac","670623","63","18",31.7,"107.4","86.7","99.3","91","81.3","372","174","363","26",41.3,"1",1.6,1
"Hernández, Teoscar","606192","63","10.8",33.3,"109.7","84.3","98.1","90.9","77.8","436","164","390","19",30.2,"6",9.5,7.1
"Rutschman, Adley","668939","62","16.9",38.7,"110.2","90.4","100","93.8","85.2","436","198","420","23",37.1,"8",12.9,9.2
"Turner, Trea","607208","62","12.6",35.5,"108.7","87.5","98","91.8","84.7","402","168","402","20",32.3,"2",3.2,2.2
"Bleday, JJ","668709","62","18.4",24.2,"109.9","89.6","101.1","91.5","88.8","381","153","365","29",46.8,"2",3.2,2.3
"Massey, Michael","686681","61","20.4",36.1,"106","86.7","96.7","90.2","84.8","366","187",,"19",31.1,"2",3.3,2.5
"Contreras, William","661388","61","0.5",27.9,"114.1","87.3","99.9","97.3","81.6","408","129","386","22",36.1,"3",4.9,3.3
"Bogaerts, Xander","593428","61","11.8",37.7,"112.2","91","100.5","93.2","87.9","369","170",,"25",41,"1",1.6,1.1
"Schwarber, Kyle","656941","61","18.1",34.4,"116.7","93.6","104.4","99.1","87.5","462","189","423","35",57.4,"8",13.1,7.8
"Garcia, Maikel","672580","60","8.8",36.7,"108.9","93.6","103.3","97.1","91.8","428","161","413","35",58.3,"4",6.7,4.9
"Ohtani, Shohei","660271","60","10.4",30,"113.1","95.9","106.8","100.7","91.2","448","170","402","36",60,"12",20,12.5
"Contreras, Willson","575929","60","8.7",38.3,"113.8","87.7","101.1","94.5","82.3","417","167","393","24",40,"6",10,6.3
"Rodríguez, Julio","677594","60","8.6",30,"113.3","93.4","103","98","89.8","438","159","417","32",53.3,"6",10,6
"Hayes, Ke'Bryan","663647","60","13.1",30,"108.3","91.6","101.3","96.5","89.2","388","150","348","29",48.3,"3",5,3.6
"Langeliers, Shea","669127","59","12.7",37.3,"114.5","91.2","103.4","96.3","86.4","429","169","403","30",50.8,"7",11.9,8.8
"Riley, Austin","663586","59","24.8",50.8,"113.2","95","106.7","97.8","90.8","444","233","410","34",57.6,"15",25.4,15.8
"Stott, Bryson","681082","59","18.4",35.6,"108.5","83.2","93.5","85.5","80","399","164","374","13",22,"4",6.8,4.6
"Vaughn, Andrew","683734","59","12.8",32.2,"110.5","90.4","101.7","95","89.5","405","162","386","29",49.2,"9",15.3,10.8
"Caminero, Junior","691406","59","4",25.4,"113.9","94.1","104.7","99","91.9","413","138","393","33",55.9,"7",11.9,8.3
"Reynolds, Bryan","668804","59","5.6",39,"112","92","103","94.6","89.6","410","153","391","26",44.1,"8",13.6,8
"García Jr., Luis","671277","59","3.6",28.8,"108.1","87.8","98.7","92.6","84.9","398","143","392","23",39,"4",6.8,5.4
"García, Adolis","666969","59","24.9",37.3,"113.6","95.1","103.7","95.3","97.1","431","231","405","35",59.3,"13",22,15.7
"Devers, Rafael","646240","59","14.3",39,"110.4","95.6","104.5","97.1","95.6","402","180","391","37",62.7,"12",20.3,11.1
"Correa, Carlos","621043","59","5.8",28.8,"110.1","87.6","99.5","90.2","85.6","391","134","358","22",37.3,"3",5.1,3.8
"Torkelson, Spencer","679529","58","19",41.4,"110.5","92.2","102.7","97","83.5","423","209","397","28",48.3,"10",17.2,9.8
"Volpe, Anthony","683011","58","10.6",24.1,"110.5","90.3","100.3","94.2","87.4","418","171","369","23",39.7,"8",13.8,8.3
"Alvarez, Yordan","670541","58","20",41.4,"113.6","94.2","102.7","97.1","92.6","419","201","419","26",44.8,"7",12.1,8
"Busch, Michael","683737","58","15.4",43.1,"107.8","90.4","100","91.9","87.2","403","193","386","24",41.4,"6",10.3,6.8
"Raleigh, Cal","663728","58","22.3",36.2,"110.7","93.5","104.1","97.9","91.7","422","202","384","31",53.4,"16",27.6,16.2
"Vientos, Mark","668901","58","7.7",36.2,"110.4","90.1","99.9","96.6","82.6","371","156","355","20",34.5,"4",6.9,4.9
"Carpenter, Kerry","681481","58","19.8",41.4,"109.2","91.7","101.2","97.6","86.5","403","195","368","27",46.6,"8",13.8,10.4
"Seager, Corey","608369","58","11.7",29.3,"112.2","92.1","103.9","95.6","87.7","427","182","385","28",48.3,"10",17.2,12.5
"Kiner-Falefa, Isiah","643396","58","6.9",36.2,"104.9","87.5","97.6","89.7","88.1","368","135",,"20",34.5,"0",0,0
"De La Cruz, Elly","682829","58","7.8",34.5,"111.9","92.6","103.9","96.3","89.8","436","159","406","31",53.4,"11",19,11
"Olson, Matt","621566","57","7.6",29.8,"113.4","95.9","104.6","100.5","92.9","434","159","416","35",61.4,"10",17.5,10.8
"Suzuki, Seiya","673548","57","17.7",45.6,"114.3","91.3","102.7","94.7","87.5","445","202","410","26",45.6,"10",17.5,10.6
"Mangum, Jake","663968","57","-4.3",26.3,"106.4","88.3","98.4","93.7","86.2","369","108",,"24",42.1,"1",1.8,1.5
"Larnach, Trevor","663616","57","7",26.3,"111.8","89","100.2","91.4","88.3","407","128","407","21",36.8,"1",1.8,1.2
"Wood, James","695578","57","3.9",24.6,"115.8","94","106.2","99.9","90","445","152","408","32",56.1,"11",19.3,11.6
"Burleson, Alec","676475","57","15.5",14,"110.4","89.6","99.3","92.8","89.8","373","126",,"20",35.1,"0",0,0
"Greene, Riley","682985","57","10.2",28.1,"114.3","89.1","101.1","97.3","82.7","417","141","388","25",43.9,"3",5.3,3.2
"Kepler, Max","596146","57","9.8",33.3,"109.3","89.1","100.6","92.9","87.9","386","148","382","29",50.9,"4",7,4.9
"Campbell, Kristian","692225","56","12.5",33.9,"112.2","88.8","101.2","96.6","81.3","431","162","400","24",42.9,"5",8.9,5.5
"Andujar, Miguel","609280","56","7.2",37.5,"111.4","85.9","99.1","90.1","83.1","363","137","341","19",33.9,"2",3.6,2.9
"Sosa, Lenyn","672820","56","18.9",41.1,"107.5","89.5","99.5","93.5","83.2","396","187","396","19",33.9,"2",3.6,2.6
"Vargas, Miguel","678246","56","17.4",28.6,"107.3","90","99","93.4","87.1","389","169",,"23",41.1,"4",7.1,4.5
"Lowe, Brandon","664040","56","11.6",41.1,"111.6","91.2","101.8","95.8","84.8","409","182","395","26",46.4,"6",10.7,7.8
"Chisholm Jr., Jazz","665862","56","17.8",32.1,"109.5","89","99.9","92.5","85","442","191","382","24",42.9,"10",17.9,10.2
"Casas, Triston","671213","56","19.1",33.9,"110.9","89.7","101.2","94.4","83.2","377","188","377","25",44.6,"5",8.9,6
"Westburg, Jordan","676059","55","13.5",25.5,"110","90.5","102.1","94.6","86.1","434","171","410","24",43.6,"9",16.4,11.5
"McKinstry, Zach","656716","55","11.8",49.1,"107.3","86.8","96.7","92.1","83.2","379","159","377","18",32.7,"3",5.5,3.5
"Bell, Josh","605137","55","10",25.5,"110.3","85.5","98.4","94.2","80.4","400","154","388","18",32.7,"5",9.1,6
"Wagaman, Eric","676572","55","8.2",40,"109.7","89.9","101.8","95.1","85.8","427","164","419","28",50.9,"5",9.1,7
"Bellinger, Cody","641355","55","20.7",32.7,"110.2","90.6","101.5","93.9","89.6","451","184","419","24",43.6,"4",7.3,5
"Kirk, Alejandro","672386","55","15.1",23.6,"107.9","90.1","100.7","95.7","87.9","389","141","389","27",49.1,"1",1.8,1.4
"Scott II, Victor","687363","55","15.9",36.4,"106.6","87","97.6","91.1","83.8","396","168","396","16",29.1,"3",5.5,3.7
"Frazier, Adam","624428","55","13.1",32.7,"99.5","84.7","93.6","87.6","82.5","351","155","347","10",18.2,"0",0,0
"Chapman, Matt","656305","54","22.6",25.9,"109.7","92.8","102.4","95.2","96.1","411","176","386","25",46.3,"4",7.4,4
"Arozarena, Randy","668227","54","14.2",35.2,"112.3","91.6","103.5","96.2","91.8","424","160","393","25",46.3,"6",11.1,6.1
"Sweeney, Trey","700242","54","-0.2",25.9,"110.8","88.5","100.6","93.7","86.2","409","119","378","22",40.7,"3",5.6,4.1
"Buxton, Byron","621439","53","15.6",32.1,"112.5","90.3","104.2","96.6","84.8","446","180","418","30",56.6,"9",17,10.8
"Rafaela, Ceddanne","678882","53","6",30.2,"105.2","87.9","99.1","94.1","84.3","406","132","406","21",39.6,"5",9.4,6.8
"Trout, Mike","545361","53","20.3",45.3,"115.4","91.6","104","97.1","84.8","484","224","401","27",50.9,"11",20.8,12.2
"Tovar, Ezequiel","678662","53","15.8",50.9,"111.1","91.2","99.6","94.6","85.7","400","200",,"23",43.4,"3",5.7,4.3
"Yelich, Christian","592885","53","1.9",28.3,"113.4","91.9","102.9","96.7","89.5","465","140","427","28",52.8,"3",5.7,3.3
"Walker, Jordan","691023","52","14.2",23.1,"116.5","90","101.9","91.2","93.1","419","147","407","21",40.4,"2",3.8,2.4
"Lowe, Nathaniel","663993","52","13.1",38.5,"111.7","90.9","102.3","95.5","88.6","421","167","406","25",48.1,"5",9.6,5.7
"Crews, Dylan","686611","52","5.8",32.7,"111.1","90.2","101.1","96.8","84.4","428","154","418","20",38.5,"7",13.5,9.6
"Manzardo, Kyle","700932","51","19.5",23.5,"107.8","90.4","100.9","96.5","78.8","424","213","396","23",45.1,"10",19.6,11.8
"Diaz, Yainer","673237","51","10.6",27.5,"109.7","88.7","99.1","91.1","87.6","388","154","382","18",35.3,"5",9.8,7.1
"Castro, Willi","650489","51","16.5",37.3,"109.9","85","98.1","91","79.9","387","173","387","18",35.3,"3",5.9,4.2
"Fitzgerald, Tyler","666149","51","15.7",29.4,"105.6","86.2","97.5","88.6","84.5","381","145","375","16",31.4,"3",5.9,4.1
"Espinal, Santiago","669289","51","12.9",27.5,"104.9","83.5","94.7","87.8","79.6","362","150",,"11",21.6,"0",0,0
"Meyers, Jake","676694","51","6.1",25.5,"107.9","90.1","100.4","90.9","89.6","365","134",,"20",39.2,"2",3.9,2.9
"Lux, Gavin","666158","51","9.3",41.2,"106.2","89.2","98.8","90.9","87.9","397","164","397","22",43.1,"4",7.8,4.7
"Mullins, Cedric","656775","51","24.4",37.3,"108.4","89.4","98.9","93.5","80.5","396","204","380","19",37.3,"5",9.8,6
"Abreu, Wilyer","677800","51","22.4",39.2,"110.8","91.7","102.9","94","89.9","415","181","397","25",49,"6",11.8,6.8
"Aranda, Jonathan","666018","51","14.2",45.1,"111.4","95.1","104.8","96.3","94.9","401","193","377","31",60.8,"10",19.6,13.7
"Soler, Jorge","624585","50","19",42,"112.7","91.6","103.7","95.7","89.8","408","198","390","22",44,"8",16,9.3
"Walker, Christian","572233","50","15.4",26,"112.8","89.8","102.8","94.9","86.7","402","155","387","21",42,"5",10,5.7
"Wells, Austin","669224","50","22.7",30,"110.1","91","101.1","94.3","89.1","375","195","356","25",50,"5",10,6.6
"Mountcastle, Ryan","663624","50","8.4",38,"116.7","92.4","102.2","95.8","87.2","388","176","388","26",52,"8",16,11.6
"Hoskins, Rhys","656555","49","24",42.9,"107.6","88.8","99.1","92.6","81.7","440","187","399","21",42.9,"4",8.2,5.3
"Rocchio, Brayan","677587","49","4.2",34.7,"103.4","85.1","96.5","90","82.3","378","144",,"14",28.6,"1",2,1.5
"Rice, Ben","700250","48","8.7",39.6,"113.2","96","106.4","100.6","92.1","419","169","392","31",64.6,"12",25,15.4
"Arias, Gabriel","672356","48","4.3",31.3,"109.7","87.4","100.8","95.1","82.6","424","132","402","20",41.7,"6",12.5,7.9
