"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
646240,"Devers, Rafael","L","L",22.27937795378408,26.74855120836186,30.539244124985807,-62.212800491055106,24.976057652354335,2.6966796985702572
671218,"Ramos, Heliot","R","R",25.12690934141645,26.3314323597261,27.614107896845805,-3.0899532824716403,27.65825158302288,2.5313422416064313
596115,"Story, Trevor","R","R",25.37464689131438,29.54474023612442,35.94425120540662,-23.65170903305422,34.736566761472105,9.58966385109916
694192,"Chourio, Jackson","R","R",24.504448063246148,29.431268175521204,40.65806153942583,1.1255423554876716,28.70612657354853,4.20167851030239
666182,"Bichette, Bo","R","R",26.98413035791039,25.91074274360668,36.2383980977731,2.1110138771750924,24.651266886587795,-2.3328634713225966
663586,"Riley, Austin","R","R",28.494309273469447,27.941778509272563,29.6514412873601,-10.784047000645776,35.556966310139444,7.0626570366699895
677594,"Rodríguez, Julio","R","R",21.810341661493798,30.219299317601237,30.449373353543503,0.4086595865090798,30.59395000465367,8.783608343159877
592518,"Machado, Manny","R","R",21.59357859191458,31.238397649537838,32.03055549403238,-37.313997471328506,30.96384947333884,9.370270881424268
663656,"Tucker, Kyle","L","L",27.309307547511608,30.66484310861609,36.84805175675433,-2.643687629236777,28.866462231190127,1.5571546836785188
592206,"Castellanos, Nick","R","R",28.814935576728782,29.30444980091673,28.392785287062317,-5.296276484321542,30.015632055261918,1.200696478533132
668930,"Turang, Brice","L","L",29.8425691394089,27.695572216269884,26.535706070150113,-10.239105150794188,30.73917183297109,0.8966026935621905
667670,"Rooker, Brent","R","R",31.439598394792313,27.406597858760758,27.632983130331823,-14.633797468845348,33.51975160481149,2.0801532100191693
682985,"Greene, Riley","L","L",28.62109288488028,24.262024348988287,27.694209164090154,-5.87068238307046,32.31561586607617,4.341474294303303
679529,"Torkelson, Spencer","R","R",34.18635374445052,27.815030044317414,25.579165569515872,-16.032751716367976,31.38928619237486,-2.7970675520756547
521692,"Perez, Salvador","R","R",29.386432095683585,27.518075358832085,33.66282009802996,-29.18062925893502,30.775172483888642,1.3887403882050542
691718,"Crow-Armstrong, Pete","L","L",31.440108935465155,27.44812481623454,34.989920529647264,-0.6180727073695425,31.99676243405923,0.5566534985940805
642715,"Adames, Willy","R","R",29.33507687423891,30.179443112274058,33.15079490605663,1.4914503879127496,30.16647435450328,0.8313974802643713
665926,"Giménez, Andrés","L","L",27.6274329132921,30.60876995786944,28.338373161400714,-20.03677658811885,29.74894825532279,2.12151534203068
677951,"Witt Jr., Bobby","R","R",26.88312259795743,24.417445949992903,33.22563461580447,-15.943785739246465,28.446939673504822,1.5638170755473872
547180,"Harper, Bryce","L","L",22.76052888694988,29.404480156145564,32.866301581740196,-16.407556340364838,34.89799748004331,12.137468593093423
682998,"Carroll, Corbin","L","L",30.01458692849255,29.73062449623084,26.19353560879766,-2.2602347413812622,38.1264572573148,8.111870328822242
607043,"Nimmo, Brandon","L","L",28.499199913095943,31.063762364647474,25.81575701831758,-10.087282097131418,27.079449013863055,-1.4197508992328878
665862,"Chisholm Jr., Jazz","L","L",28.69083533291699,25.05097096329719,33.373305069503665,-3.554185594467971,28.439197583326163,-0.2516377495908273
680776,"Duran, Jarren","L","L",28.59600193508503,31.418885260777564,23.25463902879019,-2.519978477947793,28.338556483062895,-0.257445452022143
575929,"Contreras, Willson","R","R",19.553483843336664,30.812592623592792,25.609406076289293,-6.363157697581741,28.10427686083208,8.831730528076903
592450,"Judge, Aaron","R","R",29.43357747282308,32.67609712600605,29.531732703968483,-4.735653410758842,31.796491549779255,2.36291407695618
621020,"Swanson, Dansby","R","R",30.205541023524034,26.57817724205879,23.42287208268657,-10.219712506271806,32.61114958541197,2.4056085618879273
668227,"Arozarena, Randy","R","R",18.7310767253026,25.58164326956743,16.500431866348475,3.495733188940513,30.48997977780735,11.758903052504749
665487,"Tatis Jr., Fernando","R","R",25.790344287610626,29.39492410335523,20.501166309163917,-49.25840300365102,27.187880977540114,1.3975366899294883
691023,"Walker, Jordan","R","R",25.686427247562094,29.94557081274323,27.73488068725232,-17.987142454954135,30.348365426402662,4.661938178840561
641857,"McMahon, Ryan","L","L",21.854952507901917,30.295591976961873,44.20594202426427,2.7155796527369898,28.00319632740226,6.1482438195003475
572233,"Walker, Christian","R","R",27.459120408727888,27.39834925594949,27.11252011799587,-19.14900004254867,31.723818659001694,4.26469825027381
670623,"Paredes, Isaac","R","R",30.736499435928007,26.655940221322375,29.36229464717376,-36.09404384262594,37.8518466677427,7.350760737436438
624413,"Alonso, Pete","R","R",23.374860311130472,27.709528334352026,31.35727582077516,4.2026029360747135,30.28134645058265,6.906486139452177
695578,"Wood, James","L","L",30.349895125407222,29.779744627852896,29.861871685642555,-24.04713711873688,30.128635103100184,-0.2212600223070389
553993,"Suárez, Eugenio","R","R",19.01332708095688,23.098777037468267,26.395481838954908,-19.289742635972278,36.2725132997185,17.259186218761613
666969,"García, Adolis","R","R",27.292563817287053,25.390446025718237,28.136672769557414,-14.454843281229543,33.37596817836876,6.321918261571067
545361,"Trout, Mike","R","R",30.297420111638125,25.6079110282527,29.333329082888493,-9.568862210629046,25.731480072085997,-4.565940039552125
677800,"Abreu, Wilyer","L","L",30.645967608648558,26.042306519758533,32.73528630628063,-23.52806012876022,29.985041285792235,-0.66092632285633
664034,"France, Ty","R","R",28.74786830706772,27.40724274551272,31.48710414780593,-28.432988756784223,27.739615624039455,-1.0082526830282674
